Diameter,Depth (nm),Depth (um),Aspect Ratio
0.246095304,7.55,0.00755,0.030679171
0.26010769,11.2,0.0112,0.043059088
0.140087802,3.65,0.00365,0.026055088
0.301213756,11.5,0.0115,0.038178867
0.134067443,12.2,0.0122,0.090998976
0.187023837,13.55,0.01355,0.072450658
0.513651916,11,0.011,0.021415281
0.295625188,17.15,0.01715,0.058012648
0.297556039,9.15,0.00915,0.03075051
0.156551564,15.2,0.0152,0.09709261
0.207870912,10.1,0.0101,0.048587847
0.203978427,3.7,0.0037,0.018139173
0.267605004,4.15,0.00415,0.015507931
0.260452733,8.05,0.00805,0.030907719
0.312159356,7.5,0.0075,0.02402619
0.197829553,11.35,0.01135,0.057372621
0.293563652,7.2,0.0072,0.024526197
0.260452733,8.3,0.0083,0.031867586
0.287122692,7.6,0.0076,0.026469521
0.344309054,15.8,0.0158,0.045889005
0.303508093,6.95,0.00695,0.022898895
0.283976053,10.9,0.0109,0.038383518
0.237,7.7,0.0077,0.032489451
0.251288087,5.45,0.00545,0.021688255
0.231832803,6.3,0.0063,0.027174757
0.270939421,15.65,0.01565,0.05776199
0.304671377,16.3,0.0163,0.053500267
0.219092529,18.05,0.01805,0.082385283
0.201411305,4.45,0.00445,0.022094092
0.264861563,6.65,0.00665,0.025107456
0.272562296,10,0.01,0.03668886
0.266857711,9.05,0.00905,0.033913204
0.320997448,9.05,0.00905,0.028193371
0.275035709,9.95,0.00995,0.036177121
0.277472733,11.55,0.01155,0.041625712
0.280528218,7.2,0.0072,0.025665867
0.170903129,10.8,0.0108,0.063193694
0.283862681,11.4,0.0114,0.040160263
0.228489073,13.15,0.01315,0.057551986
0.182473711,12.65,0.01265,0.069325055
0.361215637,12.5,0.0125,0.034605368
0.205807433,14.3,0.0143,0.069482427
0.204577269,10.3,0.0103,0.050347725
0.298840379,5.8,0.0058,0.019408354
0.26455205,7.3,0.0073,0.027593814
0.293898208,10.75,0.01075,0.03657729
0.25001577,9,0.009,0.035997729
0.241804185,15.05,0.01505,0.062240445
0.416241466,9.3,0.0093,0.0223428
0.260452733,8.65,0.00865,0.0332114
0.267605004,6.7,0.0067,0.025036901
0.296624991,13.45,0.01345,0.045343448
0.343299849,8.05,0.00805,0.023448889
0.193623193,16.05,0.01605,0.082892962
0.392362548,9.25,0.00925,0.023575135
0.226840048,7.2,0.0072,0.031740427
0.188236688,8.05,0.00805,0.042765308
0.460219556,9.75,0.00975,0.02118554
0.147389879,3.75,0.00375,0.025442724
0.259666542,5.35,0.00535,0.020603347
0.171264141,3.2,0.0032,0.018684589
0.219814598,7.4,0.0074,0.033664734
0.187023837,4.55,0.00455,0.02432845
0.435847054,6.15,0.00615,0.014110454
0.306779451,7,0.007,0.022817695
0.251197068,3.45,0.00345,0.013734237
0.172279392,3.6,0.0036,0.020896289
0.396932779,9.2,0.0092,0.023177728
0.176671982,1.9,0.0019,0.010754393
0.149891963,9.5,0.0095,0.063378982
0.204577269,5.65,0.00565,0.027617927
0.247663436,6.6,0.0066,0.026649069
