Diameter,Depth (nm),Depth (um),Aspect Ratio
0.188236688,3.9,0.0039,0.020718597
0.140087802,0.85,0.00085,0.006067623
0.171264141,1.6,0.0016,0.009342294
0.284452595,8.7,0.0087,0.030585061
0.325529392,10.85,0.01085,0.033330324
0.292091963,17.95,0.01795,0.061453249
0.31796886,20.15,0.02015,0.063370985
0.203978427,18.35,0.01835,0.089960494
0.292475272,11.45,0.01145,0.039148609
0.275242948,21.85,0.02185,0.079384414
0.289783861,15.15,0.01515,0.052280344
0.311333612,12.35,0.01235,0.039668059
0.255253373,15.85,0.01585,0.062095164
0.270907778,21.3,0.0213,0.078624542
0.30724424,15.15,0.01515,0.049309305
0.270923193,16.75,0.01675,0.061825641
0.271789869,16.15,0.01615,0.059420905
0.281079008,16.9,0.0169,0.060125443
0.278916306,31.35,0.03135,0.112399309
0.230539941,32,0.032,0.138804581
0.291156056,16.25,0.01625,0.055811994
0.28342793,8.25,0.00825,0.029107929
0.257406696,23.45,0.02345,0.091100971
0.319635718,18.45,0.01845,0.05772196
0.374105943,23.95,0.02395,0.064019298
0.293322262,16.25,0.01625,0.055399818
0.262195535,14.05,0.01405,0.053585962
0.260452733,6.45,0.00645,0.02476457
0.260452733,14.95,0.01495,0.05740005
0.342130959,17.55,0.01755,0.051296147
0.216217612,22.4,0.0224,0.103599331
0.237082701,19.8,0.0198,0.083515161
0.290678632,13.6,0.0136,0.046787065
0.27457144,29.7,0.0297,0.10816857
0.188236688,7.05,0.00705,0.037452848
0.292475272,13.95,0.01395,0.04769634
0.30435036,11.8,0.0118,0.038771106
0.247663436,13.95,0.01395,0.056326441
0.248294486,10.05,0.01005,0.04047613
0.1896,21.15,0.02115,0.111550633
0.224330471,35.1,0.0351,0.156465592
0.279874747,17.5,0.0175,0.062527971
0.260452733,8.85,0.00885,0.033979294
0.263231252,17.3,0.0173,0.06572168
0.283862681,20.2,0.0202,0.071161168
0.33458548,18.95,0.01895,0.056637246
0.371561016,15.65,0.01565,0.042119596
0.277812849,13.3,0.0133,0.047873956
0.277605905,17.25,0.01725,0.062138448
0.318051018,13.5,0.0135,0.04244602
0.252621361,25.45,0.02545,0.100743658
0.33550152,7.05,0.00705,0.021013318
0.356588697,18.7,0.0187,0.052441371
0.338420172,21,0.021,0.062053039
0.298588728,12.9,0.0129,0.043203238
0.171264141,17.45,0.01745,0.101889397
0.304291572,14,0.014,0.046008504
0.247885773,12.35,0.01235,0.049821335
0.149891963,11.2,0.0112,0.074720484
0.211979247,16.6,0.0166,0.078309552
0.263231252,7.95,0.00795,0.030201581
0.288077268,7.85,0.00785,0.027249634
0.171264141,5.95,0.00595,0.034741657
0.302008468,8.85,0.00885,0.029303814
0.17994065,13.9,0.0139,0.077247692
0.237,17.5,0.0175,0.073839662
0.315467713,12.5,0.0125,0.039623706
0.293525342,17.25,0.01725,0.05876835
0.305498003,16.05,0.01605,0.052537168
0.171264141,13.6,0.0136,0.079409501
0.25173328,12.3,0.0123,0.048861239
0.242187991,12.35,0.01235,0.050993445
0.205807433,12.65,0.01265,0.061465224
0.256217013,13.8,0.0138,0.053860592
0.27433839,16.4,0.0164,0.059780186
0.201101159,15.8,0.0158,0.078567424
0.140087802,8.85,0.00885,0.063174665
0.320997448,13.4,0.0134,0.04174488
0.242187991,12.7,0.0127,0.052438603
0.334961308,10.65,0.01065,0.031794717
0.203978427,11.4,0.0114,0.055888263
0.27638711,13.8,0.0138,0.04992997
0.335504029,5.35,0.00535,0.015946157
0.31429679,13.65,0.01365,0.043430288
0.331904196,17.25,0.01725,0.051972829
0.222407147,10.55,0.01055,0.047435526
0.193623193,13.35,0.01335,0.068948352
0.171264141,8.8,0.0088,0.051382618
0.352075762,7.45,0.00745,0.021160218
0.281772644,11.35,0.01135,0.040280702
0.284813776,8.75,0.00875,0.030721829
0.275920355,8.15,0.00815,0.029537509
0.302008468,9.65,0.00965,0.031952746
0.33205789,10.05,0.01005,0.030265807
0.212789871,13.2,0.0132,0.062033028
0.248480298,6.55,0.00655,0.026360239
0.323496402,15.2,0.0152,0.046986612
0.274460192,9.65,0.00965,0.035159926
0.24094829,10.7,0.0107,0.044407869
0.16950241,10.15,0.01015,0.059881154
0.170384276,9.65,0.00965,0.056636682
0.170903129,10.2,0.0102,0.059682933
0.287461294,10.4,0.0104,0.036178784
0.253240454,7.8,0.0078,0.030800766
0.338145376,10.05,0.01005,0.029720945
0.210077666,12.1,0.0121,0.057597746
0.140087802,11.5,0.0115,0.082091373
0.293787255,7.3,0.0073,0.024847913
0.250154027,10.85,0.01085,0.043373277
0.26320022,10.4,0.0104,0.039513645
0.247663436,2.65,0.00265,0.010700005
0.284167718,12.05,0.01205,0.042404535
0.193623193,6.5,0.0065,0.033570358
0.248294486,10.5,0.0105,0.042288494
0.140087802,7.55,0.00755,0.053894771
0.297393236,7.75,0.00775,0.026059772
0.275920355,5.9,0.0059,0.021382982
0.203978427,8.9,0.0089,0.043632065
0.140087802,8.6,0.0086,0.06139007
0.255253373,10.45,0.01045,0.040939714
0.231832803,9.05,0.00905,0.039036754
0.283976053,8.9,0.0089,0.031340671
0.320997448,8.75,0.00875,0.027258784
0.358175951,15.65,0.01565,0.043693609
0.303431404,6.3,0.0063,0.020762518
0.331896646,18.15,0.01815,0.054685699
0.343628573,15.75,0.01575,0.045834372
0.149891963,4,0.004,0.026685887
0.179692231,4.15,0.00415,0.023095044
0.181851803,3.5,0.0035,0.019246441
0.322483173,7.25,0.00725,0.022481793
0.370231607,5.35,0.00535,0.014450414
0.242672851,9.65,0.00965,0.03976547
0.342495079,11.55,0.01155,0.033723112
0.382743554,8.45,0.00845,0.022077446
0.381818135,8.4,0.0084,0.022000003
0.187023837,3.4,0.0034,0.018179501
0.343041778,9.9,0.0099,0.028859459
0.327756917,4.55,0.00455,0.013882239
0.346575229,6.55,0.00655,0.018899216
0.202776494,6.35,0.00635,0.031315267
0.140087802,3.1,0.0031,0.022128979
0.171264141,5.5,0.0055,0.032114137
0.140087802,2.8,0.0028,0.019987465
0.149891963,12.5,0.0125,0.083393397
0.171264141,7.45,0.00745,0.043500058
0.211979247,10.4,0.0104,0.049061406
0.32813236,7.9,0.0079,0.02407565
0.170903129,14.05,0.01405,0.082210315
0.182473711,2.4,0.0024,0.01315258
0.140087802,1.6,0.0016,0.011421408
0.140087802,4.6,0.0046,0.032836549
0.149891963,7.45,0.00745,0.049702465
0.201101159,9.8,0.0098,0.048731693
0.330471043,9.65,0.00965,0.029200743
0.250154027,7.6,0.0076,0.030381282
0.170903129,5,0.005,0.02925634
0.279390158,9.55,0.00955,0.034181591
0.140087802,4.35,0.00435,0.031051954
0.241179238,12.55,0.01255,0.052035988
0.305817664,10.15,0.01015,0.033189711
0.147389879,6,0.006,0.040708358
0.161833727,8,0.008,0.049433453
0.171264141,8.8,0.0088,0.051382618
0.35668722,5.5,0.0055,0.015419672
0.333402849,4.85,0.00485,0.014546966
0.215551845,8.05,0.00805,0.037346004
0.303508093,3.5,0.0035,0.011531818
0.140087802,11.7,0.0117,0.083519049
0.398585082,8,0.008,0.020070997
0.140087802,1.05,0.00105,0.007495299
0.354889879,4.95,0.00495,0.013947989
0.171264141,2.2,0.0022,0.012845655
0.203978427,2.9,0.0029,0.01421719
0.149891963,4,0.004,0.026685887
0.140087802,5.1,0.0051,0.036405739
0.170903129,2,0.002,0.011702536
0.259087816,3.45,0.00345,0.013315948
0.170903129,2.5,0.0025,0.01462817
0.170903129,5.95,0.00595,0.034815044
0.149891963,3.85,0.00385,0.025685166
0.210077666,4.9,0.0049,0.023324707
0.189705303,3.75,0.00375,0.019767502
0.284145116,9.15,0.00915,0.032201856
0.258876396,8.2,0.0082,0.031675348
0.187023837,1.9,0.0019,0.010159133
0.134067443,9.25,0.00925,0.068995125
0.187023837,3,0.003,0.016040736
0.134067443,10.6,0.0106,0.079064684
1.992,67,0.067,0.033634538
1.006,26,0.026,0.02584493
1.432,24,0.024,0.016759777
0.835,25,0.025,0.02994012
1.503,23,0.023,0.015302728
0.799,31,0.031,0.038798498
1.013,23,0.023,0.022704837
0.821,32,0.032,0.038976857
0.598,19,0.019,0.031772575
1.261,39,0.039,0.030927835
1.185,23,0.023,0.019409283
0.889,33,0.033,0.03712036
1.212,36,0.036,0.02970297
1.399,53,0.053,0.037884203
1.037,29,0.029,0.027965284
1.538,54,0.054,0.035110533
1.434,51,0.051,0.035564854
1.225,44,0.044,0.035918367
1.339,42,0.042,0.031366692
1.171,46,0.046,0.039282664
1.816,34,0.034,0.018722467
1.565,58,0.058,0.037060703
1.782,38,0.038,0.021324355
1.719,65,0.065,0.037812682
1.42,45,0.045,0.031690141
1.457,38,0.038,0.026080988
1.333,29,0.029,0.021755439
1.343,137,0.137,0.102010424
0.473,86,0.086,0.181818182
1.164,59,0.059,0.050687285
1.328,148,0.148,0.111445783
1.496,132,0.132,0.088235294
1.206,97,0.097,0.080431177
0.996,71,0.071,0.071285141
1.685,217,0.217,0.128783383
1.622,349,0.349,0.215166461
1.468,239,0.239,0.16280654
1.478,153,0.153,0.103518268
1.67,83,0.083,0.049700599
1.99,,,
2.061,,,
1.862,,,
2.29,,,
2.07,,,
1.842,,,
2.424,,,
1.922,,,
1.921,,,
2.843,,,
1.903,,,
2.271,,,
2.668,,,
2.098,,,
2.467,,,
2.742,,,
1.634,,,
1.782,,,
2.763,,,
2.476,,,
2.245,,,
2.109,,,
2.451,,,
2.635,,,
3.267,,,
1.975,,,
1.998,,,
2.533,,,
2.273,,,
2.316,,,
1.968,,,
1.995,,,
2.338,,,
2.14,,,
1.528,,,
2.122,,,
1.959,,,
2.637,,,
2.154,,,
2.79,,,
2.163,,,
1.926,,,
1.629,,,
1.852,,,
1.485,,,
2.422,,,
1.904,,,
2.244,,,
3.384,,,
3.387,,,
4.364,,,
4.051,,,
5.539,,,
4.602,,,
5.11,,,
5.543,,,
4.844,,,
5.485,,,
4.363,,,
4.211,,,
5.015,,,
6.265,,,
5.38,,,
3.299,,,
3.357,,,
5.568,,,
1.73,,,
1.942,,,
1.982,,,
2.722,,,
